sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions,family_apprehensions
big bend,2018,499,8045,4634,26651,65,5128,11,1622,10,399,989,1388,2377,906,7139,741
del rio,2018,1366,15833,8359,1870,80,10925,12,71,24,1557,1297,2854,4151,2886,12947,2829
el centro,2018,844,29230,10449,623,165,2718,34,110,17,1884,2715,4599,7314,4302,24928,3539
el paso,2018,2171,31561,22159,15156,324,13048,54,14,4,6564,5461,12025,17486,9931,21630,12312
laredo,2018,1779,32641,10362,59237,387,13882,31,13,69,316,2879,3195,6074,3848,28793,597
rio grande valley,2018,3096,162262,130809,204323,1857,24547,422,1509,96,33757,23757,57514,81271,52799,109463,63278
san diego,2018,2202,38591,11509,8787,1821,6978,84,25,4,2407,2491,4898,7389,5586,33005,4408
tucson,2018,3681,52172,22386,134084,62,28086,93,923,58,2596,5023,7619,12642,6495,45677,107212
yuma,2018,844,26244,23655,8103,78,4005,33,20,1,7730,5424,13154,18578,9227,17017,4954
southwest border,2018,16608,396579,244322,458834,4838,109317,774,4307,283,57210,50036,107246,289333,95980,300599,14554
big bend,2017,500,6002,3346,40852,45,2847,11,26,1,506,811,1317,4685,985,5017,941
del rio,2017,1391,13476,6156,9482,62,8022,12,99,18,1348,1349,2697,10779,2622,10854,2453
el centro,2017,870,18633,5812,5554,484,1413,34,4,2,968,1531,2499,16134,2791,15842,1798
el paso,2017,2182,25193,15337,34189,140,6996,54,44,8,4642,3926,8568,16625,7364,17829,8609
laredo,2017,1666,25460,7891,69535,757,6119,31,1054,83,477,2033,2510,22950,3651,21809,865
rio grande valley,2017,3130,137562,107909,260020,1192,7979,422,1190,104,27222,23708,50930,86632,50306,87256,49896
san diego,2017,2199,26086,7060,10985,2903,3099,84,48,4,1639,1551,3190,22896,4117,21969,2944
tucson,2017,3691,38657,12328,397090,331,20963,93,750,72,1088,3659,4747,33910,4693,33964,75622
yuma,2017,859,12847,10139,30181,261,2367,33,6,2,3241,2867,6108,6739,4328,8519,2042
southwest border,2017,16605,303916,175978,857888,6174,59805,774,3221,294,41131,41435,82566,221350,80857,223059,6074
big bend,2016,511,6366,3638,41752,16,2392,9,42,2,578,951,1529,4837,1155,5211,1051
del rio,2016,1439,23078,10125,10128,0,13987,13,18,14,1971,2689,4660,18418,4617,18461,3549
el centro,2016,927,19448,5087,2899,126,1134,22,36,9,849,1379,2228,17220,2952,16496,1593
el paso,2016,2240,25634,11974,67532,157,6900,34,13,1,3022,3885,6907,18727,5772,19862,5664
laredo,2016,1670,36562,11225,73261,663,12001,28,982,68,860,2953,3813,32749,5680,30882,1640
rio grande valley,2016,3135,186830,140496,326393,1460,8781,151,1377,130,28530,36714,65244,121586,63352,123478,52006
san diego,2016,2325,31891,6511,9167,1317,2683,52,77,7,1559,1553,3112,28779,4388,27503,2863
tucson,2016,3834,64891,18397,728367,174,24036,123,1409,84,1687,6302,7989,56902,7695,57196,77674
yuma,2016,829,14170,10657,32608,271,2341,7,10,7,3357,3266,6623,7547,4904,9266,3139
southwest border,2016,17026,408870,218110,1292105,4184,74255,439,3964,322,42413,59692,102105,306765,100515,308355,6169
big bend,2015,549,5031,2854,34506,95,1451,5,23,4,482,839,1321,3710,1001,4030,807
del rio,2015,1536,19013,8139,15718,69,10948,3,8,12,1188,2285,3473,15540,3804,15209,2141
el centro,2015,1004,12820,1500,8768,332,1352,39,7,4,384,668,1052,11768,2035,10785,675
el paso,2015,2364,14495,3818,60030,175,6125,27,31,2,715,1662,2377,12118,2242,12253,1220
laredo,2015,1670,35888,10122,92769,760,14903,34,491,47,806,2459,3265,32623,5700,30188,1372
rio grande valley,2015,3056,147257,99084,516664,1809,9049,110,714,97,15157,23864,39021,108236,43495,103762,27409
san diego,2015,2430,26290,2021,8158,895,1907,60,105,6,610,1084,1694,24596,3085,23205,1550
tucson,2015,3991,63397,14481,746868,153,30518,87,790,63,1663,6019,7682,55715,8317,55080,39838
yuma,2015,804,7142,3297,53019,3,2071,8,14,5,999,1090,2089,5053,1784,5358,2930
southwest border,2015,17522,331333,145316,1536499,4294,78324,373,2183,240,22004,39970,61974,269359,71463,259870,1734
big bend,2014,588,4096,932,29714,27,1637,2,65,5,111,256,367,3729,448,3648,176
del rio,2014,1537,24255,14059,21930,24,13407,12,17,17,2902,3268,6170,18085,6552,17703,4950
el centro,2014,1074,14511,2000,5858,148,1422,28,12,6,352,662,1014,13497,1831,12680,630
el paso,2014,2522,12339,2435,44010,156,6103,19,3,0,372,1029,1401,10938,1724,10615,562
laredo,2014,1785,44049,17509,123383,598,13979,26,456,49,2096,3800,5896,38153,8846,35203,3591
rio grande valley,2014,3064,256393,192925,654162,1627,9761,89,377,115,29618,49959,79577,176816,83763,172630,52326
san diego,2014,2546,29911,2040,17497,1697,1980,85,16,5,578,954,1532,28379,3101,26810,1723
tucson,2014,4052,87915,19045,971180,44,39454,99,509,107,2382,8262,10644,77271,12278,75637,68445
yuma,2014,859,5902,1655,52677,120,3986,6,2,3,434,351,785,5117,872,5030,3812
southwest border,2014,18156,479371,252600,1920411,4443,91729,366,1457,307,38845,68541,107386,371985,119415,359956,675
big bend,2013,623,3684,510,34888,10,1381,5,54,3,66,125,191,3493,339,3345,102
del rio,2013,1598,23510,9505,34924,38,18477,7,11,18,471,2135,2606,20904,3305,20205,711
el centro,2013,1141,16306,1165,5653,112,1017,21,9,3,147,434,581,15725,1764,14542,365
el paso,2013,2631,11154,1062,66940,215,8503,24,37,2,196,744,940,10214,1367,9787,298
laredo,2013,1804,50749,17977,194317,737,15335,59,693,56,983,3795,4778,45971,8183,42566,1688
rio grande valley,2013,3086,154453,96829,797249,1819,12797,120,721,156,4474,21553,26027,128426,36453,118000,7265
san diego,2013,2572,27496,1273,47822,828,1457,73,15,7,412,656,1068,26428,2591,24905,1576
tucson,2013,4135,120939,19847,1193083,12,39217,136,802,194,1605,9070,10675,110264,14140,106799,NA
yuma,2013,911,6106,820,53543,140,4856,16,4,6,125,247,372,5734,503,5603,2630
southwest border,2013,18611,414397,148988,2428419,3910,103040,461,2346,445,8479,38759,47238,367159,68645,345752,220
big bend,2012,693,3964,547,50793,58.46,1776,1,21,1,44,168,212,3752,270,3694,NA
del rio,2012,1655,21720,9316,63485,50.39,14642,14,7,29,245,1618,1863,19857,2038,19682,NA
el centro,2012,1168,23916,1405,13135,882.52,1059,35,1,1,481,498,979,22937,2651,21265,NA
el paso,2012,2718,9678,763,39933,205.9,7086,17,20,1,183,659,842,8836,1197,8481,NA
laredo,2012,1879,44872,13130,148603,418.63,11757,43,290,90,1037,2658,3695,41177,6685,38187,NA
rio grande valley,2012,2546,97762,49939,886001,2174.25,11562,125,318,150,1845,10759,12604,85158,21137,76625,NA
